,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
6,0241,區,1.ㄑㄩ\n2.ㄡ,1.區域、區\n別、「區區\n小事，不足\n掛齒。」\n2.區脫（邊\n界）、「豆、\n區、釜、鍾。」\n（左傳‧昭\n公三年）、\n姓（如漢代\n有區博）,,,
7,0242,匿,ㄋ｜ˋ,匿名信、匿情\n不報、消聲匿\n跡,,通「慝」時，\n音ㄊㄜˋ。,
8,0243,午,1.ㄨˇ\n2.‧ㄏㄨㄛ\n(限讀),1.午時、午\n睡、姓（如\n漢代有午汝\n臣）,2.限於「晌\n午」一詞音\n‧ㄏㄨㄛ。,,
9,0244,半,ㄅㄢˋ,半晌、半碗\n飯、半天、一\n半兒、半生不\n熟,,,
0,0245,卒,1.ㄗㄨˊ\n2.ㄘㄨˋ,1.役卒、士\n卒、卒能成\n事\n2.倉卒、卒然,,,
1,0246,卓,ㄓㄨㄛˊ,,,,
2,0247,南,1.ㄋㄢˊ\n2.ㄋㄚˊ\n(限讀),1.南方、南\n下、南岸、\n南轅北轍、\n南腔北調、\n南柯一夢,2.限於佛經\n「南無」一\n詞音ㄋㄚ\nˊ。,,
3,0248,卡,1.ㄎㄚˇ\n2.ㄑ｜ㄚˇ\n(限讀),1.關卡、卡路\n里、卡通、\n卡車,2.限於「卡\n子」一詞音\nㄑ｜ㄚˇ。,,
4,0249,占,1.ㄓㄢ\n2.ㄓㄢˋ,1.占卜、占\n夢、占星\n2.占有、占\n據、占領,,,
5,0250,卬,ㄤˊ,「卬須我\n友。」（詩\n經‧邶風‧匏\n有苦葉）、「意\n慷慨而自\n卬。」（文\n選‧司馬相\n如‧長門賦）,,通仰\n時，音｜ㄤ\nˇ。,
6,0251,卵,ㄌㄨㄢˇ,,,,
7,0252,卷,1.ㄐㄩㄢˋ\n2.ㄐㄩㄢˇ\n3.ㄑㄩㄢˊ,1.手卷、上卷\n2.卷舌\n3.卷曲、卷卷\n服膺,,,
0,0253,厂,1.ㄏㄢˇ\n2.ㄢ,1.「厂，山石\n之崖巖，人\n可居。」（說\n文）\n2.「庵」的異\n體字,,,
1,0254,厖,ㄇㄤˊ,,,,
